Phase,Scenario_Name,Run,PopSize,Generation,Cr,Mr,Fitness
Phase 3: Cr & Mr Test,S01_Cr0.1_Mr0.9,1,10,10,0.1,0.9,0.8421052631578947
Phase 3: Cr & Mr Test,S01_Cr0.1_Mr0.9,2,10,10,0.1,0.9,0.8671052631578947
Phase 3: Cr & Mr Test,S01_Cr0.1_Mr0.9,3,10,10,0.1,0.9,0.8513157894736842
Phase 3: Cr & Mr Test,S01_Cr0.1_Mr0.9,4,10,10,0.1,0.9,0.8526315789473684
Phase 3: Cr & Mr Test,S01_Cr0.1_Mr0.9,5,10,10,0.1,0.9,0.8394736842105263
Phase 3: Cr & Mr Test,S01_Cr0.1_Mr0.9,6,10,10,0.1,0.9,0.8513157894736842
Phase 3: Cr & Mr Test,S01_Cr0.1_Mr0.9,7,10,10,0.1,0.9,0.8473684210526315
Phase 3: Cr & Mr Test,S01_Cr0.1_Mr0.9,8,10,10,0.1,0.9,0.8421052631578947
Phase 3: Cr & Mr Test,S01_Cr0.1_Mr0.9,9,10,10,0.1,0.9,0.85
Phase 3: Cr & Mr Test,S01_Cr0.1_Mr0.9,10,10,10,0.1,0.9,0.8421052631578947
