Phase,Scenario_Name,Run,PopSize,Generation,Cr,Mr,Fitness
Phase 3: Cr & Mr Test,S02_Cr0.1_Mr0.1,1,10,10,0.1,0.1,0.8513157894736842
Phase 3: Cr & Mr Test,S02_Cr0.1_Mr0.1,2,10,10,0.1,0.1,0.8565789473684211
Phase 3: Cr & Mr Test,S02_Cr0.1_Mr0.1,3,10,10,0.1,0.1,0.843421052631579
Phase 3: Cr & Mr Test,S02_Cr0.1_Mr0.1,4,10,10,0.1,0.1,0.843421052631579
Phase 3: Cr & Mr Test,S02_Cr0.1_Mr0.1,5,10,10,0.1,0.1,0.8592105263157894
Phase 3: Cr & Mr Test,S02_Cr0.1_Mr0.1,6,10,10,0.1,0.1,0.8407894736842105
Phase 3: Cr & Mr Test,S02_Cr0.1_Mr0.1,7,10,10,0.1,0.1,0.8513157894736842
Phase 3: Cr & Mr Test,S02_Cr0.1_Mr0.1,8,10,10,0.1,0.1,0.8473684210526315
Phase 3: Cr & Mr Test,S02_Cr0.1_Mr0.1,9,10,10,0.1,0.1,0.8421052631578947
Phase 3: Cr & Mr Test,S02_Cr0.1_Mr0.1,10,10,10,0.1,0.1,0.8473684210526315
