Generation,Best_Fitness,Avg_Fitness,Std_Dev,Time_Elapsed
0,0.77,0.721098,0.011708,0.39
1,0.77,0.728635,0.014697,0.78
2,0.77,0.738161,0.011271,1.18
3,0.77,0.747554,0.009735,1.56
4,0.77,0.754695,0.008422,1.96
5,0.771053,0.760856,0.009081,2.36
6,0.771053,0.769253,0.003811,2.75
7,0.771579,0.770421,0.000526,3.19
8,0.774737,0.771049,0.000565,3.58
9,0.774737,0.771684,0.000936,3.97
10,0.775263,0.772996,0.00114,4.35
11,0.775789,0.774474,0.00069,4.74
12,0.778947,0.775414,0.000686,5.15
13,0.778947,0.776442,0.00085,5.54
14,0.780526,0.777695,0.001011,5.93
15,0.782632,0.779021,0.001096,6.31
16,0.783684,0.780326,0.001179,6.7
17,0.785263,0.781691,0.001066,7.12
18,0.786842,0.783133,0.001146,7.57
19,0.786842,0.784561,0.001105,7.97
20,0.788421,0.785768,0.000846,8.35
21,0.788421,0.786768,0.000771,8.74
22,0.788421,0.78747,0.000654,9.15
23,0.79,0.788411,0.000667,9.54
24,0.79,0.789137,0.000717,9.94
25,0.791053,0.789933,0.000506,10.33
26,0.791053,0.790305,0.000483,10.74
27,0.792632,0.791004,0.000784,11.14
28,0.794211,0.791839,0.000806,11.53
29,0.794737,0.792604,0.000553,11.97
30,0.797368,0.793361,0.001122,12.36
31,0.797368,0.794996,0.001408,12.75
32,0.798947,0.796709,0.001015,13.13
33,0.8,0.797709,0.000776,13.52
34,0.801579,0.798733,0.000971,13.89
35,0.803158,0.800137,0.001202,14.28
36,0.803158,0.801586,0.001087,14.66
37,0.806316,0.803165,0.001022,15.05
38,0.807368,0.804611,0.001246,15.43
39,0.807368,0.806074,0.000859,15.82
40,0.808947,0.807032,0.000635,16.25
41,0.81,0.807961,0.000791,16.63
42,0.812105,0.809049,0.000903,17.01
43,0.812105,0.809958,0.001102,17.4
44,0.812105,0.811074,0.000927,17.78
45,0.813684,0.811912,0.000545,18.17
46,0.813684,0.812312,0.000486,18.55
47,0.814211,0.812758,0.000695,18.93
48,0.816316,0.813526,0.000573,19.33
49,0.817368,0.814225,0.000739,19.72
50,0.817368,0.815049,0.000912,20.11
51,0.818947,0.816175,0.00102,20.54
52,0.82,0.81767,0.000924,20.93
