Generation,Best_Fitness,Avg_Fitness,Std_Dev,Time_Elapsed
0,0.76,0.719996,0.010797,0.47
1,0.76,0.727891,0.012,0.9
2,0.76,0.736719,0.015012,1.4
3,0.76,0.748256,0.012145,1.82
4,0.761053,0.757386,0.006306,2.24
5,0.762632,0.760189,0.000483,2.65
6,0.762632,0.760835,0.000843,3.07
7,0.765789,0.762109,0.000805,3.48
8,0.766842,0.763263,0.001077,3.89
9,0.766842,0.764519,0.001225,4.33
10,0.770526,0.766309,0.001196,4.74
11,0.772105,0.768,0.001513,5.13
12,0.775789,0.770232,0.001634,5.53
13,0.777368,0.772326,0.001649,5.93
14,0.777368,0.774112,0.001359,6.38
15,0.780526,0.775867,0.001193,6.8
16,0.781053,0.777509,0.001364,7.28
17,0.783684,0.779477,0.001458,7.77
18,0.785263,0.781495,0.001364,8.29
19,0.788421,0.783516,0.001436,8.81
20,0.788947,0.785189,0.001414,9.23
21,0.791579,0.786909,0.001333,9.62
22,0.792105,0.789046,0.00162,10.01
23,0.794211,0.791112,0.001228,10.42
24,0.796316,0.79294,0.0012,10.82
25,0.797895,0.794754,0.001265,11.21
26,0.8,0.796319,0.001141,11.61
27,0.802105,0.797961,0.001249,12.0
28,0.802105,0.79974,0.00143,12.4
29,0.805263,0.801681,0.00131,12.84
30,0.806316,0.803344,0.001407,13.22
31,0.807895,0.805239,0.001219,13.62
32,0.808421,0.806684,0.000751,14.01
33,0.81,0.807814,0.000935,14.4
34,0.812632,0.809133,0.000924,14.81
35,0.814737,0.810484,0.000915,15.2
36,0.814737,0.811723,0.001066,15.6
37,0.814737,0.813035,0.000921,15.99
38,0.815789,0.814196,0.000668,16.39
39,0.816316,0.814891,0.000473,16.8
40,0.817368,0.815695,0.000769,17.25
41,0.82,0.816814,0.000815,17.65
42,0.821579,0.817635,0.000731,18.07
43,0.821579,0.81873,0.001091,18.55
44,0.822632,0.819902,0.001133,19.04
45,0.822632,0.821154,0.00089,19.52
46,0.822632,0.822028,0.00051,20.0
47,0.823684,0.822519,0.000325,20.47
48,0.823684,0.822702,0.000263,20.95
49,0.823684,0.822884,0.00045,21.43
50,0.825263,0.823484,0.000708,21.92
51,0.826316,0.824228,0.000789,22.47
52,0.827368,0.825189,0.000842,22.96
53,0.829474,0.826147,0.00092,23.44
54,0.829474,0.827161,0.000941,23.91
55,0.830526,0.828351,0.000956,24.38
56,0.831053,0.829526,0.000721,24.86
57,0.831053,0.83027,0.000592,25.32
58,0.832632,0.831046,0.000508,25.81
59,0.832632,0.831723,0.00055,26.29
60,0.833684,0.832214,0.000376,26.76
61,0.833684,0.832835,0.000585,27.29
62,0.834737,0.833484,0.000481,27.82
63,0.834737,0.833853,0.000405,28.38
64,0.834737,0.834196,0.000526,28.93
65,0.834737,0.834639,0.000306,29.43
66,0.835789,0.834772,0.000189,29.93
67,0.835789,0.83494,0.000416,30.46
68,0.837368,0.835365,0.000553,30.94
69,0.837368,0.835846,0.000317,31.45
70,0.838947,0.836196,0.000561,31.93
71,0.838947,0.837004,0.000876,32.48
72,0.84,0.838056,0.000918,32.97
73,0.84,0.839067,0.000498,33.44
74,0.841579,0.839565,0.0007,33.91
75,0.843684,0.840477,0.0011,34.39
76,0.843684,0.841582,0.001121,34.86
77,0.844737,0.842754,0.000902,35.34
78,0.845263,0.843653,0.000584,35.82
79,0.845263,0.84426,0.000697,36.29
80,0.846842,0.844986,0.000604,36.85
81,0.847895,0.845593,0.000662,37.34
82,0.847895,0.846354,0.000771,37.81
83,0.848421,0.847014,0.000538,38.29
84,0.849474,0.847712,0.00079,38.77
85,0.849474,0.848481,0.000545,39.24
86,0.851053,0.849067,0.000629,39.71
87,0.851053,0.849881,0.000608,40.17
88,0.852105,0.850691,0.000557,40.65
89,0.853158,0.851228,0.000428,41.17
90,0.853158,0.851684,0.000632,41.65
91,0.853158,0.852225,0.000447,42.12
92,0.853158,0.852596,0.000525,42.67
93,0.853158,0.853046,0.000325,43.16
94,0.854737,0.853196,0.000266,43.64
95,0.854737,0.853386,0.000531,44.11
96,0.854737,0.853996,0.000745,44.58
97,0.856316,0.854716,0.000412,45.07
98,0.856316,0.855063,0.000598,45.57
99,0.856316,0.855912,0.000644,46.08
100,0.857368,0.856323,0.000149,46.63
101,0.857368,0.856372,0.000237,47.15
102,0.857368,0.856512,0.00041,47.73
103,0.857895,0.856905,0.000533,48.21
104,0.857895,0.857337,0.000267,48.68
105,0.858947,0.857446,0.000214,49.15
106,0.858947,0.857681,0.000394,49.63
107,0.859474,0.858232,0.000565,50.11
108,0.859474,0.858905,0.000514,50.59
109,0.860526,0.859361,0.000282,51.06
110,0.861053,0.859586,0.000342,51.55
111,0.861053,0.859937,0.000573,52.02
112,0.861053,0.860628,0.000445,52.5
113,0.862632,0.860996,0.000322,53.04
114,0.862632,0.861361,0.000605,53.52
115,0.862632,0.862063,0.000702,54.01
116,0.862632,0.862611,0.00012,54.48
117,0.862632,0.862632,0.0,54.95
118,0.862632,0.862632,0.0,55.43
119,0.862632,0.862632,0.0,55.9
120,0.862632,0.862632,0.0,56.44
121,0.862632,0.862632,0.0,56.94
122,0.862632,0.862632,0.0,57.41
123,0.862632,0.862632,0.0,57.95
124,0.864211,0.862674,0.000254,58.44
125,0.864211,0.862737,0.000394,58.92
126,0.864211,0.86307,0.000702,59.4
127,0.864211,0.863712,0.000716,59.87
128,0.865263,0.864211,0.000172,60.35
129,0.865263,0.86426,0.000222,60.84
130,0.865263,0.8644,0.000404,61.32
131,0.866316,0.864814,0.000535,61.8
132,0.866316,0.865256,0.000192,62.27
133,0.866316,0.865284,0.000147,62.79
134,0.866316,0.865305,0.000206,63.31
135,0.866316,0.865347,0.000286,63.79
136,0.866316,0.865544,0.000465,64.26
137,0.866316,0.865986,0.000488,64.73
138,0.866316,0.866288,0.00017,65.22
139,0.867368,0.866323,8.6e-05,65.7
140,0.867368,0.866344,0.00017,66.17
141,0.867368,0.8664,0.000286,66.64
142,0.867368,0.866498,0.000398,67.12
143,0.867368,0.866807,0.000525,67.6
144,0.867368,0.867235,0.00035,68.14
145,0.867368,0.867368,0.0,68.62
146,0.867368,0.867368,0.0,69.1
147,0.867368,0.867368,0.0,69.59
148,0.867368,0.867368,0.0,70.06
149,0.867368,0.867368,0.0,70.54
150,0.867368,0.867368,0.0,71.04
151,0.867368,0.867368,0.0,71.55
152,0.867368,0.867368,0.0,72.04
153,0.867368,0.867368,0.0,72.5
154,0.867368,0.867368,0.0,72.97
155,0.867368,0.867368,0.0,73.51
156,0.867368,0.867368,0.0,74.01
157,0.867368,0.867368,0.0,74.48
158,0.867368,0.867368,0.0,74.96
159,0.867368,0.867368,0.0,75.6
160,0.867368,0.867368,0.0,76.11
161,0.867368,0.867368,0.0,76.58
162,0.867368,0.867368,0.0,77.07
163,0.867368,0.867368,0.0,77.54
164,0.867368,0.867368,0.0,78.02
165,0.867368,0.867368,0.0,78.5
166,0.867368,0.867368,0.0,79.03
167,0.867368,0.867368,0.0,79.51
168,0.867368,0.867368,0.0,80.0
169,0.867368,0.867368,0.0,80.48
170,0.867368,0.867368,0.0,80.99
171,0.867368,0.867368,0.0,81.5
172,0.867895,0.867379,7.4e-05,81.99
173,0.867895,0.8674,0.000125,82.48
174,0.867895,0.867463,0.000202,82.96
175,0.868947,0.867712,0.00043,83.44
176,0.868947,0.868175,0.000522,83.99
177,0.868947,0.868611,0.000491,84.46
178,0.868947,0.868919,0.00017,84.95
179,0.868947,0.868947,0.0,85.43
180,0.868947,0.868947,0.0,85.91
181,0.868947,0.868947,0.0,86.43
182,0.868947,0.868947,0.0,86.93
183,0.868947,0.868947,0.0,87.41
184,0.870526,0.868968,0.000181,87.88
185,0.870526,0.869105,0.000474,88.35
186,0.870526,0.869421,0.000716,88.9
187,0.870526,0.870242,0.000597,89.42
188,0.870526,0.870526,0.0,89.9
189,0.870526,0.870526,0.0,90.41
190,0.870526,0.870526,0.0,90.89
191,0.870526,0.870526,0.0,91.38
192,0.870526,0.870526,0.0,91.86
193,0.870526,0.870526,0.0,92.34
194,0.870526,0.870526,0.0,92.82
195,0.870526,0.870526,0.0,93.3
196,0.870526,0.870526,0.0,93.84
197,0.871579,0.870554,0.00017,94.32
198,0.871579,0.870582,0.000237,94.79
199,0.871579,0.870688,0.000379,95.27
200,0.871579,0.870954,0.000517,95.75
201,0.871579,0.871375,0.000416,96.24
202,0.871579,0.871572,8.6e-05,96.7
203,0.871579,0.871579,0.0,97.18
204,0.871579,0.871579,0.0,97.65
205,0.871579,0.871579,0.0,98.14
206,0.871579,0.871579,0.0,98.61
207,0.871579,0.871579,0.0,99.15
208,0.871579,0.871579,0.0,99.64
209,0.871579,0.871579,0.0,100.12
210,0.871579,0.871579,0.0,100.6
211,0.871579,0.871579,0.0,101.08
212,0.871579,0.871579,0.0,101.54
213,0.871579,0.871579,0.0,102.02
214,0.871579,0.871579,0.0,102.55
215,0.871579,0.871579,0.0,103.07
216,0.871579,0.871579,0.0,103.61
217,0.871579,0.871579,0.0,104.15
218,0.871579,0.871579,0.0,104.66
219,0.871579,0.871579,0.0,105.14
220,0.871579,0.871579,0.0,105.61
221,0.871579,0.871579,0.0,106.09
222,0.871579,0.871579,0.0,106.58
223,0.871579,0.871579,0.0,107.07
224,0.871579,0.871579,0.0,107.54
225,0.871579,0.871579,0.0,108.0
226,0.871579,0.871579,0.0,108.48
227,0.871579,0.871579,0.0,108.96
228,0.871579,0.871579,0.0,109.52
229,0.871579,0.871579,0.0,109.99
230,0.871579,0.871579,0.0,110.48
231,0.871579,0.871579,0.0,110.96
232,0.871579,0.871579,0.0,111.44
233,0.871579,0.871579,0.0,111.92
234,0.871579,0.871579,0.0,112.39
235,0.871579,0.871579,0.0,112.87
236,0.871579,0.871579,0.0,113.36
237,0.871579,0.871579,0.0,113.83
238,0.871579,0.871579,0.0,114.37
239,0.871579,0.871579,0.0,114.85
240,0.871579,0.871579,0.0,115.33
241,0.871579,0.871579,0.0,115.81
242,0.871579,0.871579,0.0,116.28
243,0.871579,0.871579,0.0,116.75
244,0.871579,0.871579,0.0,117.23
245,0.871579,0.871579,0.0,117.72
246,0.871579,0.871579,0.0,118.2
247,0.871579,0.871579,0.0,118.67
248,0.871579,0.871579,0.0,119.16
249,0.871579,0.871579,0.0,119.72
250,0.871579,0.871579,0.0,120.21
251,0.871579,0.871579,0.0,120.7
252,0.871579,0.871579,0.0,121.18
253,0.871579,0.871579,0.0,121.66
254,0.871579,0.871579,0.0,122.17
255,0.871579,0.871579,0.0,122.66
256,0.871579,0.871579,0.0,123.13
257,0.871579,0.871579,0.0,123.59
258,0.871579,0.871579,0.0,124.08
259,0.871579,0.871579,0.0,124.65
260,0.871579,0.871579,0.0,125.14
261,0.871579,0.871579,0.0,125.61
262,0.871579,0.871579,0.0,126.08
263,0.871579,0.871579,0.0,126.6
264,0.871579,0.871579,0.0,127.12
265,0.871579,0.871579,0.0,127.6
266,0.871579,0.871579,0.0,128.11
267,0.871579,0.871579,0.0,128.6
268,0.871579,0.871579,0.0,129.08
269,0.871579,0.871579,0.0,129.64
270,0.871579,0.871579,0.0,130.12
271,0.871579,0.871579,0.0,130.6
272,0.871579,0.871579,0.0,131.07
273,0.871579,0.871579,0.0,131.55
274,0.871579,0.871579,0.0,132.02
275,0.871579,0.871579,0.0,132.49
276,0.871579,0.871579,0.0,133.0
277,0.871579,0.871579,0.0,133.48
278,0.871579,0.871579,0.0,133.96
279,0.871579,0.871579,0.0,134.51
280,0.871579,0.871579,0.0,135.01
281,0.871579,0.871579,0.0,135.63
282,0.871579,0.871579,0.0,136.27
283,0.871579,0.871579,0.0,136.83
284,0.871579,0.871579,0.0,137.44
285,0.871579,0.871579,0.0,137.98
286,0.871579,0.871579,0.0,138.46
287,0.871579,0.871579,0.0,138.93
288,0.871579,0.871579,0.0,139.49
289,0.871579,0.871579,0.0,139.99
290,0.871579,0.871579,0.0,140.48
291,0.871579,0.871579,0.0,140.96
292,0.871579,0.871579,0.0,141.46
293,0.871579,0.871579,0.0,141.96
294,0.871579,0.871579,0.0,142.44
295,0.871579,0.871579,0.0,142.91
296,0.871579,0.871579,0.0,143.38
297,0.871579,0.871579,0.0,143.87
